Instance, R,A, A', n, RotateEnable, Opt, Gap, LB_Area, LB_MT, LB_Area_Imp, LB_MT_Imp, LB_Best, UB0, UB, lbTime, ub0Time, incTime, totalTime
CBPP-RI-200-3,14.14,628.1287785,610.2200206,200,R,0,0.125,7,7,7,7,7,8,8,0.264,0.009,0.009,60.008
CBPP-RI-200-4,14.14,628.1287785,610.414189,200,F,0,0.25,3,3,3,3,3,4,4,0.249,0.004,0.004,60.006
CBPP-RI-200-4,14.14,628.1287785,610.6206314,200,R,0,0.25,3,3,3,3,3,4,4,0.24,0.013,0.013,60.009
CBPP-RI-400-1,14.14,628.1287785,545.6157872,400,F,0,0.18,36,36,41,41,41,51,50,0.163,0.009,0.682,60.001
CBPP-RI-400-1,14.14,628.1287785,545.7656591,400,R,0,0.163265306,36,36,41,41,41,50,49,0.16,0.033,0.162,60.032
CBPP-RI-400-2,14.14,628.1287785,608.2464753,400,F,0,0.117647059,15,15,15,15,15,18,17,0.329,0.01,32.168,60.015
CBPP-RI-400-2,14.14,628.1287785,610.4024231,400,R,0,0.117647059,15,15,15,15,15,18,17,0.256,0.036,0.05,60.01
CBPP-RI-400-3,14.14,628.1287785,608.0578608,400,F,0,0.117647059,15,15,15,15,15,18,17,0.323,0.013,26.296,60.002
CBPP-RI-400-3,14.14,628.1287785,610.2200206,400,R,0,0.117647059,15,15,15,15,15,17,17,0.241,0.032,0.032,60.066
CBPP-RI-400-4,14.14,628.1287785,610.5143073,400,F,0,0.142857143,6,6,6,6,6,7,7,0.245,0.014,0.014,60.015
CBPP-RI-400-4,14.14,628.1287785,610.6206314,400,R,0,0.142857143,6,6,6,6,6,7,7,0.241,0.037,0.037,60.065
CBPP-RI-600-1,14.14,628.1287785,545.4655372,600,F,0,0.162162162,54,54,62,62,62,76,74,0.163,0.019,23.086,60.046
CBPP-RI-600-1,14.14,628.1287785,545.4655372,600,R,0,0.150684932,54,54,62,62,62,74,73,0.161,0.075,1.691,60.099
CBPP-RI-600-2,14.14,628.1287785,608.2921474,600,F,0,0.153846154,22,22,22,22,22,26,26,0.338,0.021,0.021,60.013
CBPP-RI-600-2,14.14,628.1287785,610.4024231,600,R,0,0.12,22,22,22,22,22,25,25,0.243,0.068,0.068,60.18
CBPP-RI-600-3,14.14,628.1287785,608.4826335,600,F,0,0.148148148,22,22,23,23,23,27,27,0.33,0.023,0.023,60.005
CBPP-RI-600-3,14.14,628.1287785,610.6206314,600,R,0,0.115384615,22,22,23,23,23,26,26,0.237,0.067,0.067,60.12
CBPP-RI-600-4,14.14,628.1287785,610.5143073,600,F,0,0.1,9,9,9,9,9,10,10,0.26,0.03,0.03,60.021
CBPP-RI-600-4,14.14,628.1287785,610.6206314,600,R,0,0.1,9,9,9,9,9,10,10,0.247,0.08,0.08,60.095
CBPP-RI-800-1,14.14,628.1287785,545.6157872,800,F,0,0.168316832,73,73,84,84,84,103,101,0.185,0.038,0.95,60.016
CBPP-RI-800-1,14.14,628.1287785,545.7656591,800,R,0,0.16,73,73,84,84,84,101,100,0.161,0.105,0.461,60.281
CBPP-RI-800-2,14.14,628.1287785,608.5051548,800,F,0,0.142857143,29,29,30,30,30,35,35,0.362,0.038,0.038,60.072
CBPP-RI-800-2,14.14,628.1287785,610.6206314,800,R,0,0.117647059,29,29,30,30,30,35,34,0.249,0.12,2.948,60.184
CBPP-RI-800-3,14.14,628.1287785,608.5501647,800,F,0,0.142857143,29,29,30,30,30,35,35,0.346,0.044,0.044,60.004
CBPP-RI-800-3,14.14,628.1287785,610.6206314,800,R,0,0.117647059,29,29,30,30,30,34,34,0.242,0.115,0.115,60.302
CBPP-RI-800-4,14.14,628.1287785,610.5143073,800,F,0,0.076923077,12,12,12,12,12,13,13,0.24,0.046,0.046,60.127
CBPP-RI-800-4,14.14,628.1287785,610.6206314,800,R,0,0.076923077,12,12,12,12,12,13,13,0.246,0.137,0.137,60.197
